"sampleID","taxon_group","benthicArea","FFG","number","density","date","year","season","location","microhabitat","mon.precip","mon.ADD","mon.max.discharge","mon.median.discharge","depth","pH","wTemp","DO","light","flow","turb","cond","winter.sediment"
"01DRFA19.DFR","Chironomidae",0.5,"cg",5,10,2019-09-17,2019,"Fall","Downstream","DFR",51.8,552.75,60.1,10.7,17,7.48,19.1,9.83,NA,NA,10.6,204.6,0
"01DRFA19.DFR","Corydalidae",0.5,"prd",1,2,2019-09-17,2019,"Fall","Downstream","DFR",51.8,552.75,60.1,10.7,17,7.48,19.1,9.83,NA,NA,10.6,204.6,0
"01DRFA19.DFR","Elmidae",0.5,"scr",3,6,2019-09-17,2019,"Fall","Downstream","DFR",51.8,552.75,60.1,10.7,17,7.48,19.1,9.83,NA,NA,10.6,204.6,0
"01DRFA19.DFR","Heptageniidae-cg",0.5,"cg",6,12,2019-09-17,2019,"Fall","Downstream","DFR",51.8,552.75,60.1,10.7,17,7.48,19.1,9.83,NA,NA,10.6,204.6,0
"01DRFA19.DFR","Heptageniidae-scr",0.5,"scr",17,34,2019-09-17,2019,"Fall","Downstream","DFR",51.8,552.75,60.1,10.7,17,7.48,19.1,9.83,NA,NA,10.6,204.6,0
"01DRFA19.DFR","Hydropsychidae",0.5,"cf",24,48,2019-09-17,2019,"Fall","Downstream","DFR",51.8,552.75,60.1,10.7,17,7.48,19.1,9.83,NA,NA,10.6,204.6,0
"01DRFA19.DFR","Isonychiidae",0.5,"cf",2,4,2019-09-17,2019,"Fall","Downstream","DFR",51.8,552.75,60.1,10.7,17,7.48,19.1,9.83,NA,NA,10.6,204.6,0
"01DRFA19.DFR","Perlidae",0.5,"prd",2,4,2019-09-17,2019,"Fall","Downstream","DFR",51.8,552.75,60.1,10.7,17,7.48,19.1,9.83,NA,NA,10.6,204.6,0
"01DRFA19.DFR","Philopotamidae",0.5,"cf",6,12,2019-09-17,2019,"Fall","Downstream","DFR",51.8,552.75,60.1,10.7,17,7.48,19.1,9.83,NA,NA,10.6,204.6,0
"01DRFA19.DFR","Planorbidae",0.5,"scr",1,2,2019-09-17,2019,"Fall","Downstream","DFR",51.8,552.75,60.1,10.7,17,7.48,19.1,9.83,NA,NA,10.6,204.6,0
"01DRFA19.DFR","Psephenidae",0.5,"scr",5,10,2019-09-17,2019,"Fall","Downstream","DFR",51.8,552.75,60.1,10.7,17,7.48,19.1,9.83,NA,NA,10.6,204.6,0
"01DRFA19.DM","Chironomidae",0.5,"cg",28,56,2019-09-17,2019,"Fall","Downstream","DM",51.8,552.75,60.1,10.7,20.25,7.48,19.2,9.91,NA,NA,14.1,211.366666666667,0
"01DRFA19.DM","Corydalidae",0.5,"prd",1,2,2019-09-17,2019,"Fall","Downstream","DM",51.8,552.75,60.1,10.7,20.25,7.48,19.2,9.91,NA,NA,14.1,211.366666666667,0
"01DRFA19.DM","Elmidae",0.5,"scr",4,8,2019-09-17,2019,"Fall","Downstream","DM",51.8,552.75,60.1,10.7,20.25,7.48,19.2,9.91,NA,NA,14.1,211.366666666667,0
"01DRFA19.DM","Goeridae",0.5,"scr",1,2,2019-09-17,2019,"Fall","Downstream","DM",51.8,552.75,60.1,10.7,20.25,7.48,19.2,9.91,NA,NA,14.1,211.366666666667,0
"01DRFA19.DM","Heptageniidae-cg",0.5,"cg",10,20,2019-09-17,2019,"Fall","Downstream","DM",51.8,552.75,60.1,10.7,20.25,7.48,19.2,9.91,NA,NA,14.1,211.366666666667,0
"01DRFA19.DM","Heptageniidae-scr",0.5,"scr",53,106,2019-09-17,2019,"Fall","Downstream","DM",51.8,552.75,60.1,10.7,20.25,7.48,19.2,9.91,NA,NA,14.1,211.366666666667,0
"01DRFA19.DM","Hydropsychidae",0.5,"cf",15,30,2019-09-17,2019,"Fall","Downstream","DM",51.8,552.75,60.1,10.7,20.25,7.48,19.2,9.91,NA,NA,14.1,211.366666666667,0
"01DRFA19.DM","Isonychiidae",0.5,"cf",5,10,2019-09-17,2019,"Fall","Downstream","DM",51.8,552.75,60.1,10.7,20.25,7.48,19.2,9.91,NA,NA,14.1,211.366666666667,0
"01DRFA19.DM","Leptoceridae",0.5,"cg",1,2,2019-09-17,2019,"Fall","Downstream","DM",51.8,552.75,60.1,10.7,20.25,7.48,19.2,9.91,NA,NA,14.1,211.366666666667,0
"01DRFA19.DM","Perlidae",0.5,"prd",8,16,2019-09-17,2019,"Fall","Downstream","DM",51.8,552.75,60.1,10.7,20.25,7.48,19.2,9.91,NA,NA,14.1,211.366666666667,0
"01DRFA19.DM","Polycentropodidae",0.5,"prd",1,2,2019-09-17,2019,"Fall","Downstream","DM",51.8,552.75,60.1,10.7,20.25,7.48,19.2,9.91,NA,NA,14.1,211.366666666667,0
"01DRFA19.DM","Psephenidae",0.5,"scr",13,26,2019-09-17,2019,"Fall","Downstream","DM",51.8,552.75,60.1,10.7,20.25,7.48,19.2,9.91,NA,NA,14.1,211.366666666667,0
"01DRFA19.DM","waterMites",0.5,"prd",1,2,2019-09-17,2019,"Fall","Downstream","DM",51.8,552.75,60.1,10.7,20.25,7.48,19.2,9.91,NA,NA,14.1,211.366666666667,0
"01DRFA19.DSH","Chironomidae",0.5,"cg",1,2,2019-09-17,2019,"Fall","Downstream","DSH",51.8,552.75,60.1,10.7,15.25,7.48,19.3,10.03,NA,NA,7.83333333333333,203.666666666667,0
"01DRFA19.DSH","Elmidae",0.5,"scr",5,10,2019-09-17,2019,"Fall","Downstream","DSH",51.8,552.75,60.1,10.7,15.25,7.48,19.3,10.03,NA,NA,7.83333333333333,203.666666666667,0
"01DRFA19.DSH","Heptageniidae-scr",0.5,"scr",11,22,2019-09-17,2019,"Fall","Downstream","DSH",51.8,552.75,60.1,10.7,15.25,7.48,19.3,10.03,NA,NA,7.83333333333333,203.666666666667,0
"01DRFA19.DSH","Hydropsychidae",0.5,"cf",38,76,2019-09-17,2019,"Fall","Downstream","DSH",51.8,552.75,60.1,10.7,15.25,7.48,19.3,10.03,NA,NA,7.83333333333333,203.666666666667,0
"01DRFA19.DSH","Isonychiidae",0.5,"cf",4,8,2019-09-17,2019,"Fall","Downstream","DSH",51.8,552.75,60.1,10.7,15.25,7.48,19.3,10.03,NA,NA,7.83333333333333,203.666666666667,0
"01DRFA19.DSH","Perlidae",0.5,"prd",4,8,2019-09-17,2019,"Fall","Downstream","DSH",51.8,552.75,60.1,10.7,15.25,7.48,19.3,10.03,NA,NA,7.83333333333333,203.666666666667,0
"01DRFA19.DSH","Philopotamidae",0.5,"cf",11,22,2019-09-17,2019,"Fall","Downstream","DSH",51.8,552.75,60.1,10.7,15.25,7.48,19.3,10.03,NA,NA,7.83333333333333,203.666666666667,0
"01DRFA19.DSH","Psephenidae",0.5,"scr",4,8,2019-09-17,2019,"Fall","Downstream","DSH",51.8,552.75,60.1,10.7,15.25,7.48,19.3,10.03,NA,NA,7.83333333333333,203.666666666667,0
"01DRFA19.DSP","Chironomidae",0.5,"cg",5,10,2019-09-17,2019,"Fall","Downstream","DSP",51.8,552.75,60.1,10.7,14.25,7.51,19.2,9.91,NA,NA,9.23333333333333,204.366666666667,0
"01DRFA19.DSP","Elmidae",0.5,"scr",18,36,2019-09-17,2019,"Fall","Downstream","DSP",51.8,552.75,60.1,10.7,14.25,7.51,19.2,9.91,NA,NA,9.23333333333333,204.366666666667,0
"01DRFA19.DSP","Heptageniidae-cg",0.5,"cg",10,20,2019-09-17,2019,"Fall","Downstream","DSP",51.8,552.75,60.1,10.7,14.25,7.51,19.2,9.91,NA,NA,9.23333333333333,204.366666666667,0
"01DRFA19.DSP","Heptageniidae-scr",0.5,"scr",59,118,2019-09-17,2019,"Fall","Downstream","DSP",51.8,552.75,60.1,10.7,14.25,7.51,19.2,9.91,NA,NA,9.23333333333333,204.366666666667,0
"01DRFA19.DSP","Hydropsychidae",0.5,"cf",56,112,2019-09-17,2019,"Fall","Downstream","DSP",51.8,552.75,60.1,10.7,14.25,7.51,19.2,9.91,NA,NA,9.23333333333333,204.366666666667,0
"01DRFA19.DSP","Isonychiidae",0.5,"cf",1,2,2019-09-17,2019,"Fall","Downstream","DSP",51.8,552.75,60.1,10.7,14.25,7.51,19.2,9.91,NA,NA,9.23333333333333,204.366666666667,0
"01DRFA19.DSP","Leptoceridae",0.5,"cg",1,2,2019-09-17,2019,"Fall","Downstream","DSP",51.8,552.75,60.1,10.7,14.25,7.51,19.2,9.91,NA,NA,9.23333333333333,204.366666666667,0
"01DRFA19.DSP","Perlidae",0.5,"prd",5,10,2019-09-17,2019,"Fall","Downstream","DSP",51.8,552.75,60.1,10.7,14.25,7.51,19.2,9.91,NA,NA,9.23333333333333,204.366666666667,0
"01DRFA19.DSP","Philopotamidae",0.5,"cf",7,14,2019-09-17,2019,"Fall","Downstream","DSP",51.8,552.75,60.1,10.7,14.25,7.51,19.2,9.91,NA,NA,9.23333333333333,204.366666666667,0
"01DRFA19.DSP","Planorbidae",0.5,"scr",3,6,2019-09-17,2019,"Fall","Downstream","DSP",51.8,552.75,60.1,10.7,14.25,7.51,19.2,9.91,NA,NA,9.23333333333333,204.366666666667,0
"01DRFA19.DSP","Polycentropodidae",0.5,"prd",2,4,2019-09-17,2019,"Fall","Downstream","DSP",51.8,552.75,60.1,10.7,14.25,7.51,19.2,9.91,NA,NA,9.23333333333333,204.366666666667,0
"01DRFA19.DSP","Psephenidae",0.5,"scr",9,18,2019-09-17,2019,"Fall","Downstream","DSP",51.8,552.75,60.1,10.7,14.25,7.51,19.2,9.91,NA,NA,9.23333333333333,204.366666666667,0
"01DRFA19.DSR","Baetidae",0.5,"cg",1,2,2019-09-17,2019,"Fall","Downstream","DSR",51.8,552.75,60.1,10.7,19.75,7.43,19,9.73,NA,NA,8.66666666666667,206.066666666667,0
"01DRFA19.DSR","Chironomidae",0.5,"cg",71,142,2019-09-17,2019,"Fall","Downstream","DSR",51.8,552.75,60.1,10.7,19.75,7.43,19,9.73,NA,NA,8.66666666666667,206.066666666667,0
"01DRFA19.DSR","Elmidae",0.5,"scr",3,6,2019-09-17,2019,"Fall","Downstream","DSR",51.8,552.75,60.1,10.7,19.75,7.43,19,9.73,NA,NA,8.66666666666667,206.066666666667,0
"01DRFA19.DSR","Goeridae",0.5,"scr",1,2,2019-09-17,2019,"Fall","Downstream","DSR",51.8,552.75,60.1,10.7,19.75,7.43,19,9.73,NA,NA,8.66666666666667,206.066666666667,0
"01DRFA19.DSR","Heptageniidae-cg",0.5,"cg",73,146,2019-09-17,2019,"Fall","Downstream","DSR",51.8,552.75,60.1,10.7,19.75,7.43,19,9.73,NA,NA,8.66666666666667,206.066666666667,0
"01DRFA19.DSR","Heptageniidae-scr",0.5,"scr",30,60,2019-09-17,2019,"Fall","Downstream","DSR",51.8,552.75,60.1,10.7,19.75,7.43,19,9.73,NA,NA,8.66666666666667,206.066666666667,0
"01DRFA19.DSR","Limnephilidae",0.5,"sh",1,2,2019-09-17,2019,"Fall","Downstream","DSR",51.8,552.75,60.1,10.7,19.75,7.43,19,9.73,NA,NA,8.66666666666667,206.066666666667,0
"01DRFA19.DSR","Perlidae",0.5,"prd",3,6,2019-09-17,2019,"Fall","Downstream","DSR",51.8,552.75,60.1,10.7,19.75,7.43,19,9.73,NA,NA,8.66666666666667,206.066666666667,0
"01DRFA19.DSR","Planorbidae",0.5,"scr",1,2,2019-09-17,2019,"Fall","Downstream","DSR",51.8,552.75,60.1,10.7,19.75,7.43,19,9.73,NA,NA,8.66666666666667,206.066666666667,0
"01DRFA19.DSR","Psephenidae",0.5,"scr",46,92,2019-09-17,2019,"Fall","Downstream","DSR",51.8,552.75,60.1,10.7,19.75,7.43,19,9.73,NA,NA,8.66666666666667,206.066666666667,0
"01DRFA20.DFR","Apataniidae",0.5,"scr",1,2,2020-09-18,2020,"Fall","Downstream","DFR",77.8,564.55,58.9,9.04,15.25,7.41,16.05,10.381053545,68.325220155,0.05655,12.75,193.35,2200
"01DRFA20.DFR","Baetidae",0.5,"cg",1,2,2020-09-18,2020,"Fall","Downstream","DFR",77.8,564.55,58.9,9.04,15.25,7.41,16.05,10.381053545,68.325220155,0.05655,12.75,193.35,2200
